"pred_class","n_total","n_uncertain","pct_uncertain","median_entropy","median_maxprob","accuracy"
"NK",3,1,33.3,0.233,0.76,100
"Neutrophil",14,3,21.4,0.047,0.979,78.6
"Fibro",73,6,8.2,0.139,0.926,97.3
"MacCD209",21,1,4.8,0.096,0.951,100
"vCAF",62,2,3.2,0.021,0.992,100
"SMA",65,2,3.1,0.037,0.986,69.2
"undefined",71,1,1.4,0.08,0.966,98.6
"CD4",122,1,0.8,0.027,0.99,99.2
"Tumor",5526,5,0.1,0.005,0.998,100
"B",7,0,0,0.009,0.997,100
"BnT",2,0,0,0.085,0.954,100
"CD8",115,0,0,0.019,0.993,98.3
"DC",6,0,0,0.023,0.99,100
"Igg",2,0,0,0.576,0.623,100
"Mac",14,0,0,0.021,0.991,92.9
"MacCD204",158,0,0,0.009,0.997,100
"MDSC",5,0,0,0.147,0.882,100
"mregDC",3,0,0,0.081,0.954,100
"PMN_MDSC",16,0,0,0.011,0.996,100
"Treg",38,0,0,0.027,0.989,97.4
"Vasculature",35,0,0,0.01,0.996,100
