"pred_class","pct_uncertain_test","median_entropy_test","median_maxprob_test","accuracy","pct_uncertain_unseen","median_entropy_unseen","median_maxprob_unseen"
"NK",33.3,0.233,0.76,100,90.7,0.92,0.179
"Neutrophil",21.4,0.047,0.979,78.6,35.5,0.226,0.837
"Fibro",8.2,0.139,0.926,97.3,33.1,0.19,0.886
"MacCD209",4.8,0.096,0.951,100,39.1,0.356,0.74
"vCAF",3.2,0.021,0.992,100,37.9,0.467,0.681
"SMA",3.1,0.037,0.986,69.2,51.6,0.611,0.539
"undefined",1.4,0.08,0.966,98.6,34.9,0.077,0.967
"CD4",0.8,0.027,0.99,99.2,39.7,0.076,0.961
"Tumor",0.1,0.005,0.998,100,6.9,0.006,0.998
"B",0,0.009,0.997,100,37,0.037,0.985
"BnT",0,0.085,0.954,100,2.6,0.145,0.9
"CD8",0,0.019,0.993,98.3,13.9,0.025,0.99
"DC",0,0.023,0.99,100,46.3,0.392,0.672
"Igg",0,0.576,0.623,100,81.5,0.839,0.306
"Mac",0,0.021,0.991,92.9,15.9,0.03,0.987
"MacCD204",0,0.009,0.997,100,18.5,0.034,0.985
"MDSC",0,0.147,0.882,100,50.9,0.533,0.59
"mregDC",0,0.081,0.954,100,49,0.242,0.642
"PMN_MDSC",0,0.011,0.996,100,10.3,0.033,0.985
"Treg",0,0.027,0.989,97.4,21.3,0.156,0.893
"Vasculature",0,0.01,0.996,100,11.1,0.018,0.993
