"pred_class","n_total","n_uncertain","pct_uncertain","median_entropy","median_maxprob"
"NK",1489,1351,90.7,0.92,0.179
"Igg",982,800,81.5,0.839,0.306
"SMA",9559,4930,51.6,0.611,0.539
"MDSC",2999,1525,50.9,0.533,0.59
"mregDC",394,193,49,0.242,0.642
"DC",3726,1724,46.3,0.392,0.672
"CD4",6215,2468,39.7,0.076,0.961
"MacCD209",1280,500,39.1,0.356,0.74
"vCAF",2215,839,37.9,0.467,0.681
"B",748,277,37,0.037,0.985
"Neutrophil",7471,2655,35.5,0.226,0.837
"undefined",39300,13726,34.9,0.077,0.967
"Fibro",8871,2940,33.1,0.19,0.886
"Treg",1102,235,21.3,0.156,0.893
"MacCD204",7861,1453,18.5,0.034,0.985
"Mac",730,116,15.9,0.03,0.987
"CD8",3248,453,13.9,0.025,0.99
"Vasculature",1860,206,11.1,0.018,0.993
"PMN_MDSC",3198,329,10.3,0.033,0.985
"Tumor",116721,8032,6.9,0.006,0.998
"BnT",272,7,2.6,0.145,0.9
